field_1,Endhaltestelle,Langname,Xkoordinat,Ykoordinat,lon,lat,elevation
0,PLRE01,Platz der Republik,22639500,21197200,22639.5,21197.2,0
1,NBAD01,Nord.Botschaften/Adenauer-Stiftg,21386900,20260500,21386.9,20260.5,0
2,LTZP01,Lützowplatz,21422600,19791700,21422.6,19791.7,0
3,NBAD02,Nord.Botschaften/Adenauer-Stiftg,21413700,20261300,21413.7,20261.3,0
4,HDKW03,Haus der Kulturen der Welt,22194900,21203500,22194.9,21203.5,0
5,ZOOJ03,S+U Zoologischer Garten/Jebensstr.,20055000,19987400,20055,19987.4,0
6,GSTN03,Großer Stern,21380000,20962100,21380,20962.1,0
7,GSTN04,Großer Stern,21394800,20950000,21394.8,20950,0
8,HDKW01,Haus der Kulturen der Welt,22200500,21198700,22200.5,21198.7,0
9,SLBE01,Schloss Bellevue,21600700,21102800,21600.7,21102.8,0
10,SLBE02,Schloss Bellevue,21582900,21111900,21582.9,21111.9,0
11,LTZP03,Lützowplatz,21390900,19797400,21390.9,19797.4,0
12,SCIL03,Schillstr.,21188300,19641600,21188.3,19641.6,0
13,ZOOH01,Hertzallee,20066000,20332600,20066,20332.6,0
14,ZOO08,S+U Zoologischer Garten,20156900,20002400,20156.9,20002.4,0
15,RTAG01,Reichstag/Bundestag,23104700,21209200,23104.7,21209.2,0
16,ZOOH05,Hertzallee,20083900,20279000,20083.9,20279,0
17,BRPL01,Breitscheidplatz,20409400,19810200,20409.4,19810.2,0
18,BAY01,Bayreuther Str.,20895100,19723800,20895.1,19723.8,0
19,SCIL04,Schillstr.,21176700,19623900,21176.7,19623.9,0
20,BAY02,Bayreuther Str.,20853000,19762100,20853,19762.1,0
21,BRPL02,Breitscheidplatz,20376900,19835300,20376.9,19835.3,0
22,RTAG02,Reichstag/Bundestag,22909700,21218200,22909.7,21218.2,0
23,PLRE03,Platz der Republik,22688800,21220000,22688.8,21220,0
24,UMUI01,U Museumsinsel,24624700,21187900,24624.7,21187.9,0
25,UMUI02,U Museumsinsel,24619200,21203400,24619.2,21203.4,0
26,SUBT01,S+U Brandenburger Tor,23510900,21062300,23510.9,21062.3,0
27,SUBT02,S+U Brandenburger Tor,23429800,21091500,23429.8,21091.5,0
28,MEMH07,Memhardstr.,25451100,21882600,25451.1,21882.6,0
29,ALXM05,S+U Alexanderplatz/Memhardstr.,25372700,21762800,25372.7,21762.8,0
30,UUDL01,U Unter den Linden,23988900,21111100,23988.9,21111.1,0
31,STOP01,Staatsoper,24313300,21171400,24313.3,21171.4,0
32,UUDL02,U Unter den Linden,23897900,21143100,23897.9,21143.1,0
33,STOP02,Staatsoper,24425200,21166800,24425.2,21166.8,0
34,SPMK02,Spandauer Str./Marienkirche,25138100,21538400,25138.1,21538.4,0
35,MEMH02,Memhardstr.,25444600,21903500,25444.6,21903.5,0
36,SPMK03,Spandauer Str./Marienkirche,25115300,21549700,25115.3,21549.7,0
37,ALXM15A,S+U Alexanderplatz/Memhardstr.,25328600,21694200,25328.6,21694.2,0
38,ZOOJ03B,S+U Zoologischer Garten/Jebensstr.,20055000,19987400,20055,19987.4,0
39,UOSL04B,U Osloer Str.,22726000,25557200,22726,25557.2,0
40,MAWI01B,Mäckeritzwiesen,15881100,24840200,15881.1,24840.2,0
41,ZOOH01B,Hertzallee,20066000,20332600,20066,20332.6,0
42,ZOOH05B,Hertzallee,20083900,20279000,20083.9,20279,0
43,MICH01B,Michelangelostr.,28209800,23913100,28209.8,23913.1,0
44,MEMH07B,Memhardstr.,25451100,21882600,25451.1,21882.6,0
45,ALXM05B,S+U Alexanderplatz/Memhardstr.,25372700,21762800,25372.7,21762.8,0
46,ALXM15BA,S+U Alexanderplatz/Memhardstr.,25328600,21694200,25328.6,21694.2,0
47,BF C E,Betriebshof Cicerostr. Einsetzen,18093600,18420100,18093.6,18420.1,0
48,BF M E,Betriebshof Müllerstr. Einsetzen,20500200,25994700,20500.2,25994.7,0
49,BF S E,Betriebshof Spandau Einsetzen,9961300,21181900,9961.3,21181.9,0
50,BF I E,Betriebshof Indira-Gandhi-Str. Einsetzen,29534700,24204700,29534.7,24204.7,0
51,BF C A,Betriebshof Cicerostr. Aussetzen,18093600,18420100,18093.6,18420.1,0
52,BF M A,Betriebshof Müllerstr. Aussetzen,20500200,25994700,20500.2,25994.7,0
53,BF I A,Betriebshof Indira-Gandhi-Str. Aussetzen,29534700,24204700,29534.7,24204.7,0
54,HHWD01,Hermann-Hesse-Str./Waldstr.,24863000,28200200,24863,28200.2,0
55,KUCK04,Kuckhoffstr.,24935500,28536300,24935.5,28536.3,0
56,DZMI01,Dietzgenstr./Mittelstr.,24862900,29312800,24862.9,29312.8,0
57,ZION01,Zionsfriedhof,24934700,29790800,24934.7,29790.8,0
58,NOEA01,Nordend-Arena,24918300,30463600,24918.3,30463.6,0
59,BOTA01,Botanischer Volkspark,24776600,30943000,24776.6,30943,0
60,REVB01,Revierförsterei Blankenfelde,24664800,31255200,24664.8,31255.2,0
61,BLKI01,Blankenfelde Kirche,24101800,32400400,24101.8,32400.4,0
62,AMWA01,Am Wäldchen,23720600,33244400,23720.6,33244.4,0
63,LBSH01,Lübarser Weg,23562500,33723800,23562.5,33723.8,0
64,GURK01,Gurkensteig,23432200,34113400,23432.2,34113.4,0
65,GURK02,Gurkensteig,23448300,34028100,23448.3,34028.1,0
66,LBSH02,Lübarser Weg,23563600,33687200,23563.6,33687.2,0
67,AMWA02,Am Wäldchen,23685700,33316699,23685.7,33316.699,0
68,BLKI02,Blankenfelde Kirche,24088500,32383500,24088.5,32383.5,0
69,REVB02,Revierförsterei Blankenfelde,24666300,31218200,24666.3,31218.2,0
70,BOTA02,Botanischer Volkspark,24795900,30860100,24795.9,30860.1,0
71,NOEA02,Nordend-Arena,24878100,30632700,24878.1,30632.7,0
72,LILW01,Liliensteinweg,24912300,30261600,24912.3,30261.6,0
73,ZION02,Zionsfriedhof,24929100,29734300,24929.1,29734.3,0
74,KUCK05,Kuckhoffstr.,24921400,28577100,24921.4,28577.1,0
75,HHWD02,Hermann-Hesse-Str./Waldstr.,24796200,28189900,24796.2,28189.9,0
76,HABE01,Hauptstr./Berliner Str.,24385600,32516300,24385.6,32516.3,0
77,MFWG01,Möllersfelder Weg,24655600,32817600,24655.6,32817.6,0
78,ARKE02,Arkenberge,24745600,34875600,24745.6,34875.6,0
79,ARKE01,Arkenberge,24730200,34867700,24730.2,34867.7,0
80,ARKE03,Arkenberge,24751000,34842100,24751,34842.1,0
